Fertilizer Name,Temperature_mean,Temperature_std,Humidity_mean,Humidity_std,Moisture_mean,Moisture_std,Nitrogen_mean,Nitrogen_std,Potassium_mean,Potassium_std,Phosphorous_mean,Phosphorous_std
10-26-26,29.71,4.03,58.14,6.69,39.29,8.71,7.57,3.51,17.71,1.11,17.71,2.29
14-35-14,31.36,3.23,61.14,4.96,45.21,13.7,8.21,1.31,8.57,1.09,29.57,2.53
17-17-17,29.0,3.61,57.57,6.58,47.14,12.67,12.14,1.77,13.0,1.63,13.14,1.57
20-20,29.14,3.32,57.57,5.6,45.29,11.85,11.21,1.89,0.0,0.0,11.57,2.5
28-28,29.53,3.22,58.12,5.48,41.94,7.76,22.65,1.17,0.0,0.0,21.06,2.66
DAP,31.83,3.59,61.33,5.79,42.61,12.96,12.94,1.55,0.0,0.0,38.44,2.2
Urea,30.23,3.53,58.73,6.23,41.95,11.02,38.36,2.26,0.0,0.0,0.0,0.0
