,MAE,RMSE,R2
LinearRegression,321.7836663219671,472.0398995273013,0.9959121140098504
RandomForest,783.4317333333388,1246.0293379281472,0.9715162023158789
GradientBoosting,793.0944531444068,1300.4092838211245,0.9689757365895132
